QRA,LRA,CRA,NWR,ATR,ETR,FAT,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,STF,STD,DER,LER,TFD
4.908125274,5.040352606,3.61892247,1.443687071,0.199612145,0.389126917,0.246039224,1.157261262,0.590487544,-0.016717668,-0.025625622,-0.009971619,-0.005115185,0.172486673,0.026233746,0.717989941,0.047328491,0.070265612,0.949415035,0.487025604,0.274402912
2.026457297,2.10171417,0.616318699,4.195164986,0.179692139,0.225091443,0.199485261,2.199096708,0.361995226,-0.053207121,-0.053207121,-0.011976468,-0.009560901,0.081711795,0.035807378,0.293245727,0.066932046,0.192761762,0.252650474,0.201692714,0.202114924
0.293494713,0.509976758,0.014176283,-1.481231742,0.291915315,0.497146472,0.367529539,1.423276591,0.21481183,0.006029632,0.004212967,0.002094462,0.00122983,0.205100904,0.424493943,0.027797899,0.135614316,0.974222733,0.703050323,0.412818291,0.135614316
1.0674141,1.17310482,0.256455423,39.71231893,1.956028469,4.110801299,3.012815389,5.859999647,0.214490062,0.057832429,0.039666342,0.163060451,0.077588494,0.333793274,0.090094865,0.218612539,0.295287593,0.542832394,1.101606067,0.524173433,0.729213774
0.419000194,1.338150085,0.103712069,3.640627848,0.520712478,1.955748529,4.557393749,0.919985457,0.309047504,0.126550611,0.086819917,0.169797925,0.045208214,0.566000771,0.686881017,0.077504063,0.393949046,0.576451,2.755908706,0.733752847,0.460966132
0.749515746,0.785544214,0.045855007,-21.32772794,0.707632045,1.445695004,0.850752057,5.822529881,0.295016676,0.219196412,0.149691965,0.216408926,0.105926832,0.121533433,0.045864341,0.058373553,0.169111309,0.303045893,1.043003866,0.510524666,0.391799617
0.478926685,1.210529034,0.051777054,17.12036399,1.172589393,6.818056215,2.786487951,2.977486363,0.272260329,0.028878504,0.031463071,0.214516984,0.036893263,0.39381856,0.604365801,0.042772253,0.358750885,0.392899692,4.81453001,0.828017054,0.363756002
0.357468801,0.986843589,0.025738574,-159.3304754,0.882505817,2.170903955,1.528472731,2.124163515,0.12756028,-0.026171479,-0.015331106,-0.033282358,-0.01352979,0.415460397,0.637765493,0.026081716,0.395830454,0.709368385,1.459931609,0.593484633,0.577800732
0.630762573,1.510918953,0.064767632,3.757213785,0.775753008,1.328064996,2.302077555,1.270506091,0.213693285,0.087017187,0.060914751,0.080898749,0.047254801,0.610585823,0.582530504,0.042866384,0.185820755,0.971718358,0.711968865,0.415877227,0.19300535
3.406701051,3.719293257,2.149661941,1.490272627,0.555017743,1.114395455,1.717751695,1.089585581,0.469485372,0.203891329,0.106431545,0.11860683,0.059071396,0.509384258,0.08404613,0.57797592,0.182626363,0.272847055,1.007855551,0.501956204,0.182626363
2.97605178,2.97605178,0.985760518,1.26203734,0.666263185,0.909155262,4.834378921,0.837973032,1,0.355307553,0.287049053,0.260972157,0.191250216,0.795089054,0,0.33123097,1,1,0.364558754,0.267162372,1
2.647117692,3.779419689,1.887492427,2.57236305,0.296046976,0.34569498,2.168925334,1.891739234,0.600001124,0.519814467,0.316216441,0.109314436,0.093614921,0.156494601,0.299596787,0.499413292,0.177474982,0.288313856,0.167703129,0.143617949,0.196257732
0.345353796,0.375202926,0.173185567,-1.832426814,0.351774568,0.79632348,0.723006684,3.051401869,0.02010663,-0.253332199,-0.289924943,-0.230874039,-0.101988222,0.115282937,0.079554633,0.461578401,0.215723417,0.55039106,1.263724848,0.558248343,0.419890753
0.716253266,1.394921195,0.005810581,4.78064427,0.702352321,1.474755729,3.407516442,1.353465526,0.239404738,0.128046491,0.098112692,0.144692255,0.068909677,0.518928859,0.486527792,0.004165526,0.229329756,0.710287318,1.099737817,0.523750065,0.341147512
19.80751174,19.80751174,3.715962441,0.083472617,0.026277083,0.029857062,8.948225713,0.079258427,1,4.59582629,3.586594721,0.107085181,0.094245247,0.33153677,0,0.187603698,0.139594523,0.139594523,0.136239586,0.119903925,1
0.94500304,0.94500304,0.904784174,-79.3494898,0.53571121,0.764714077,31.40861663,4.617954174,0.577249103,0.43729304,0.326239083,0.249479619,0.174769934,0.116006177,0,0.957440491,0.138719015,0.409926576,0.427474473,0.299462079,0.138719015
0.691769075,1.256457208,0.150923932,13.85352977,1.097352993,2.310044437,1.911136545,2.827663003,0.310250836,0.154751578,0.10704162,0.247270898,0.117462442,0.388077714,0.449428862,0.120118641,0.252399341,0.588352667,1.105114446,0.524968535,0.326447002
0.216631908,0.216631908,0.037799791,-0.052911814,0.000783309,0.000803022,0.00381716,0.19133574,1,0.088050314,0.088050314,7.07E-05,6.90E-05,0.004093899,0,0.174488568,0.769662921,0.769662921,0.025171463,0.024553538,1
1.012728426,1.018794416,0.017576142,45.83727211,0.238638441,0.331886205,0.428713071,0.845592357,0.15866539,0.165942403,0.290343964,0.096361156,0.069287231,0.28221452,0.005954086,0.017251903,0.31428214,0.985924304,0.390749133,0.280963061,0.31428214
0.216631908,0.216631908,0.037799791,-0.052911814,0.000783309,0.000803022,0.00381716,0.19133574,1,0.088050314,0.088050314,7.07E-05,6.90E-05,0.004093899,0,0.174488568,0.769662921,0.769662921,0.025171463,0.024553538,1
0.345746873,0.985697149,0.081740574,-287.9393255,2.081897564,5.345043712,5.305810882,4.178112148,0.088619733,0.009039032,0.00603655,0.032265624,0.012567479,0.498286664,0.649236205,0.082926661,0.413423716,0.828038442,1.567390348,0.610499432,0.464604652
0.217301877,0.288496981,0.009754707,-1.437589444,0.113890999,0.213661597,0.135125355,3.545441711,0.060963834,-0.164345515,-0.164345515,-0.035114325,-0.018717475,0.032123219,0.246779374,0.033812162,0.179874229,0.238452387,0.876018292,0.466956157,0.605849075
0.875306845,1.378405923,0.348262802,6.179606371,0.328724201,0.715221715,0.449964267,1.696452121,0.371695397,0.170078219,0.116619976,0.083409139,0.038335808,0.193771576,0.364986155,0.252656199,0.158620461,0.260139545,1.175751599,0.540389082,0.314956816
1.065067946,1.244136998,0.45495911,13.01143462,1.19119824,2.664675662,2.302104222,2.553233762,0.033065818,-0.168596571,-0.136777351,-0.364467277,-0.162928939,0.46654492,0.143930333,0.365682485,0.327078486,0.678150567,1.236970785,0.552966893,0.327078486
0.823746313,1.724275551,0.011148707,4.175910398,0.537763209,0.804943659,0.77741601,1.754075677,0.40261901,0.025128727,0.025128727,0.02022721,0.013513305,0.306579252,0.522265271,0.006465734,0.280777989,0.535669471,0.496836612,0.331924412,0.280777989
0.668940835,1.719015231,0.008191664,13.85488149,3.442036885,9.950008489,10.13530769,5.795103285,0.013461159,-0.014473492,-0.011573932,-0.115160719,-0.0398379,0.593956089,0.61085811,0.004765323,0.269649087,0.528265704,1.890732674,0.65406694,0.307505621
0.575916031,1.367838311,0.056308676,10.73913217,1.75299374,4.119809252,5.283460122,2.887961395,0.302760173,0.090961536,0.062162602,0.256098064,0.108970653,0.607000406,0.578958985,0.041166179,0.351503749,0.772444725,1.350154754,0.574495732,0.358291476
0.367006169,0.75555837,0.078965935,-10.55239787,0.271575122,0.469228516,0.372639056,3.413959057,0.244957358,0.006206868,0.004544689,0.002132498,0.001234225,0.079548441,0.51425835,0.104513348,0.209611272,0.249944609,0.727803758,0.421230568,0.959671184
2.893651578,3.440258456,1.327731092,2.706726665,0.753642923,1.205829648,1.577864186,1.919946631,0.179772278,0.01542738,-0.001154648,-0.001392309,-0.000870192,0.392533267,0.158885411,0.385939344,0.155132034,0.304269354,0.599994843,0.374996475,0.203691369
1.834433567,1.841299938,1.276129247,2.520685983,0.137502902,0.227985978,0.175206226,1.15171511,0.385258615,0.220199121,0.165868286,0.037815643,0.022807371,0.119389683,0.003729089,0.693058866,0.070978843,0.163374037,0.658044849,0.396880005,0.223435707
1.152064151,1.230291624,0.927659511,3.663929853,0.454204149,1.73648843,1.863791193,0.685831181,0.605060707,0.51014714,0.349390419,0.60671242,0.158694578,0.662268153,0.063584497,0.754015953,0.633125308,0.72897625,2.823145237,0.738435257,0.7018254
2.125615764,3.28294335,1.682881773,1.25799056,0.3679249,0.507480551,0.641364136,0.874800713,0.276693825,-0.022512864,-0.018867925,-0.009575105,-0.006941979,0.420581391,0.352527431,0.512613711,0.428714859,0.465863454,0.379304717,0.274997042,0.962851406
1.105905265,2.571360472,0.174992454,2.680778442,0.843528419,1.371581243,1.876320658,1.638225882,0.098106997,0.001231143,-0.001070781,-0.001468664,-0.000903234,0.514903609,0.56991434,0.068054423,0.265453626,0.520124942,0.626004003,0.384995179,0.313667518
0.975768031,1.24844789,0.451129856,13.33127447,0.75427124,0.979451709,1.124069031,2.652995806,0.267208513,0.137777118,0.094198268,0.092262655,0.071051045,0.284309247,0.218415091,0.361352572,0.522805623,0.99054195,0.298540443,0.229904617,0.522805623
2.893386785,3.401210553,1.999862965,1.765459445,0.375189065,0.44317923,0.639699762,1.246391479,0.561098778,0.522553792,0.338540274,0.150034018,0.127016609,0.301020242,0.149306772,0.58798564,0.40682415,0.57689329,0.181215742,0.153414601,0.760587952
1.767262567,2.107725839,1.187476813,3.140526228,0.902977013,1.807166732,2.140276173,1.650519241,0.417914427,0.270062752,0.157429408,0.284501189,0.142155137,0.547086632,0.161531099,0.563392445,0.202582578,0.518776914,1.001343009,0.500335527,0.238380205
1.84191643,2.996337451,0.4531138,4.68775185,0.683277444,0.761885516,1.19556622,3.123257888,0.46226564,0.411007985,0.275386794,0.209813209,0.188165584,0.218770741,0.385277373,0.151222553,0.468879809,0.707654198,0.115045613,0.103175701,0.562002439
0.297444548,0.653548631,0.158464658,-9.310533732,1.424813734,5.024733594,2.142894642,4.935588579,0.254255712,0.006276348,0.002858994,0.014365683,0.004073534,0.288681626,0.544877712,0.242468043,0.534350698,0.616539895,2.526591303,0.716440369,0.558177707
0.569965941,0.717225544,0.185529957,-8.190055971,1.091787068,2.787051119,2.404157118,3.229024183,1,0.205790125,0.136552114,0.380577723,0.149085832,0.338116721,0.205318402,0.258677285,0.633472009,0.775029943,1.55274238,0.608264427,0.633472009
0.527856009,0.709423975,0.089050078,-11.42468689,0.985094697,1.943838382,1.771035428,4.679486778,0.731975573,0.366954086,0.258545115,0.502569918,0.254691422,0.210513405,0.255937172,0.125524483,0.478529342,0.601632838,0.973250274,0.493221913,0.684834218
0.514381322,1.037231834,0.218797879,53.42092184,0.27527461,0.524524707,0.482483483,1.917564441,0.420354271,0.170324644,0.114332454,0.059970197,0.031472822,0.143554294,0.504082593,0.210944046,0.057432041,0.291253374,0.905459811,0.47519229,0.23394741
2.996286365,3.085041033,0.297888534,0.79475286,0.273571661,0.483670804,2.931661967,0.537137855,0.19627258,0.279150681,0.228938539,0.110730887,0.062631096,0.509313685,0.028769364,0.096559018,0.221459842,0.380058099,0.767985774,0.434384589,0.260783087
1.567486908,4.439382848,0.317134974,1.592223314,0.520269837,0.750988417,1.22667188,1.233564606,0.419400944,0.225843933,0.150607179,0.113104247,0.078356373,0.42176132,0.64691333,0.071436725,0.175123633,0.309239395,0.443459459,0.307219892,0.498815909
7.674377224,7.674377224,3.315302491,0.558997601,0.164522001,0.396985876,37.71223022,0.486158127,0.468714231,0.283098054,0.283098054,0.112385929,0.046575858,0.338412529,0,0.43199629,0.075304837,0.075304837,1.412965277,0.585572155,0.283210505
2.66556976,2.66556976,0.18662348,3.186039535,0.632920913,0.758641753,9.70488704,1.990783053,1,0.470828301,0.321554266,0.243944492,0.203518419,0.317925608,0,0.070012604,0.028966458,0.719722239,0.19863594,0.165718325,0.309256619
5.653521908,6.04412091,2.182972823,1.213776383,0.253538515,0.361326782,0.368605851,1.012957041,0.170014721,-0.012148115,-0.021900125,-0.007913102,-0.005552525,0.250295426,0.064624617,0.361172924,0.079741919,0.138818846,0.425135677,0.298312423,0.450268129
1.153480537,1.35020456,0.029375489,11.20491346,0.331846779,0.469459,0.394793073,2.906235031,0.284973398,0.167607059,0.139192131,0.065344999,0.04619046,0.114184426,0.145699422,0.021756325,0.081702438,0.288501428,0.414686024,0.293129371,0.44596131
0.605128847,1.149810565,0.021777249,12.25948375,0.492605314,0.836227421,1.034598017,1.597306755,0.225741832,0.050174323,0.045443309,0.038000941,0.022385615,0.30839744,0.473714309,0.018939858,0.222751334,0.65272129,0.697560697,0.410919444,0.299474749
1.217035517,1.804921075,0.464061711,4.966291589,0.999185484,1.802601056,3.849187973,2.214763194,0.25640107,0.110653797,0.085733021,0.154542434,0.08566319,0.451147773,0.325712613,0.257109143,0.291116528,0.560815128,0.804070978,0.445698201,0.34081961
0.971910704,1.280269092,0.438943175,7.81012149,0.587560226,1.141754881,1.049468628,1.709746546,0.012138756,-0.086145679,-0.078422889,-0.089539716,-0.04607817,0.343653407,0.240854357,0.342852278,0.364005553,0.553006119,0.943213362,0.485388471,0.364005553
1.223279921,2.238475425,0.10858318,5.227666161,0.70189645,1.079791172,1.571185009,2.89229714,0.305606299,0.14461511,0.099397647,0.107328701,0.069766855,0.24267785,0.453520951,0.048507649,0.204251173,0.309775277,0.538390985,0.34997019,0.498068697
0.984153483,1.030871173,0.021085885,147.7574875,2.942981184,24.11466395,44.83829841,4.424846779,0.270660372,0.243245526,0.16944109,4.086014936,0.498661939,0.665103524,0.045318651,0.020454432,0.666905735,0.73487029,7.193957909,0.877958856,0.721309464
2.370153549,2.884368789,0.794303019,3.57369138,0.40321542,0.43662485,3.786386316,2.334705785,0.304444096,0.297376669,0.229496267,0.100203773,0.092536434,0.172705025,0.178276523,0.275381921,0.540714354,0.782516627,0.08285752,0.076517472,0.540714354
